timestamp,scenario,trial,knock_seen,knock_short,knock_valid,knock_deauth,replay_drop,bind_drop,session_timeout_drop,deauth_miss,unknown_user,key_mismatch,grace_key_used,knock_rate_drop,session_limit_drop,map_update_fail,protected_drop,protected_pass
1777996607,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996608,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996609,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996611,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996612,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996613,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996614,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996615,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996616,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996617,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996618,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996619,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996620,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996621,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996622,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996623,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996625,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996626,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996627,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996628,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996629,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996630,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996631,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996632,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996633,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996634,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996635,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996636,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996638,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996639,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996640,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996641,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996642,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996643,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996644,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996645,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996646,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996647,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996648,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996649,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996650,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996652,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996653,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996654,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996655,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996656,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996657,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996658,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996659,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996660,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996661,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996662,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996663,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996664,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996666,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996667,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996668,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996669,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996670,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996671,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996672,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996673,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996674,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996675,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996676,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996677,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996678,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996680,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996681,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996682,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996683,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996684,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996685,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996686,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996687,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996688,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996689,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996690,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996691,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996693,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996694,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996695,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996696,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996697,baseline_no_xdp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
